,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
197,Bibi Blocksberg,"1,03,25,928",0,0,"1,03,25,928",100%,2002
198,Kamen Rider Ryuki: Episode Final,"1,01,12,538",0,0,"1,01,12,538",100%,2002
199,Pulse: A Stomp Odyssey,"1,00,86,514","1,00,86,514",100%,0,0,2002
0,The Lord of the Rings: The Return of the King,"1,14,07,03,091","37,70,27,325",33.10%,"76,36,54,686",66.90%,2003
1,Finding Nemo,"87,10,14,978","33,97,14,978",39%,"53,13,00,000",61%,2003
2,The Matrix Reloaded,"73,94,12,035","28,15,76,461",38.10%,"45,78,35,574",61.90%,2003
3,Pirates of the Caribbean: The Curse of the Black Pearl,"65,42,64,015","30,54,13,918",46.70%,"34,88,50,097",53.30%,2003
4,Bruce Almighty,"48,45,92,874","24,28,29,261",50.10%,"24,17,63,613",49.90%,2003
5,The Last Samurai,"45,46,27,263","11,11,27,263",24.40%,"34,35,00,000",75.60%,2003
6,Terminator 3: Rise of the Machines,"43,33,71,112","15,03,71,112",34.70%,"28,30,00,000",65.30%,2003
7,The Matrix Revolutions,"42,73,43,298","13,93,13,948",32.60%,"28,80,29,350",67.40%,2003
8,X2: X0Men United,"40,77,11,549","21,49,49,694",52.70%,"19,27,61,855",47.30%,2003
9,Bad Boys II,"27,33,39,556","13,86,08,444",50.70%,"13,47,31,112",49.30%,2003
10,Something's Gotta Give,"26,53,28,738","12,47,28,738",47%,"14,06,00,000",53%,2003
11,Charlie's Angels: Full Throttle,"25,91,75,788","10,08,30,111",38.90%,"15,83,45,677",61.10%,2003
12,The Village,"25,66,97,520","11,41,97,520",44.50%,"14,25,00,000",55.50%,2003
13,Brother Bear,"25,03,97,798","8,53,36,277",34.10%,"16,50,61,521",65.90%,2003
14,Hulk,"24,52,85,165","13,21,77,234",53.90%,"11,31,07,931",46.10%,2003
15,Love Actually,"24,49,31,766","5,96,96,144",24.40%,"18,52,35,622",75.60%,2003
16,2 Fast 2 Furious,"23,63,50,661","12,71,54,901",53.80%,"10,91,95,760",46.20%,2003
17,American Wedding,"23,27,22,935","10,45,65,114",44.90%,"12,81,57,821",55.10%,2003
18,Scary Movie 3,"22,06,73,217","11,00,03,217",49.80%,"11,06,70,000",50.20%,2003
19,Elf,"22,04,43,451","17,33,98,518",78.70%,"4,70,44,933",21.30%,2003
20,Master and Commander: The Far Side of the World,"21,16,22,535","9,39,27,920",44.40%,"11,76,94,615",55.60%,2003
21,S.W.A.T.,"20,77,25,639","11,69,34,650",56.30%,"9,07,90,989",43.70%,2003
22,Spy Kids 3: Game Over,"19,70,11,982","11,17,61,982",56.70%,"8,52,50,000",43.30%,2003
23,Anger Management,"19,57,45,823","13,56,45,823",69.30%,"6,01,00,000",30.70%,2003
24,Cheaper by the Dozen,"19,02,12,113","13,86,14,544",72.90%,"5,15,97,569",27.10%,2003
25,The Haunted Mansion,"18,22,90,266","7,58,47,266",41.60%,"10,64,43,000",58.40%,2003
26,Kill Bill: Vol. 1,"18,08,99,045","7,00,99,045",38.80%,"11,08,00,000",61.20%,2003
27,The League of Extraordinary Gentlemen,"17,92,65,204","6,64,65,204",37.10%,"11,28,00,000",62.90%,2003
28,Daredevil,"17,91,79,718","10,25,43,518",57.20%,"7,66,36,200",42.80%,2003
29,How to Lose a Guy in 10 Days,"17,75,03,042","10,58,13,373",59.60%,"7,16,89,014",40.40%,2003
30,The Italian Job,"17,60,70,171","10,61,28,601",60.30%,"6,99,41,570",39.70%,2003
31,Cold Mountain,"17,30,13,509","9,56,36,509",55.30%,"7,73,77,000",44.70%,2003
32,Bringing Down the House,"16,47,29,679","13,27,16,677",80.60%,"3,20,13,002",19.40%,2003
33,Daddy Day Care,"16,44,33,867","10,42,97,061",63.40%,"6,01,36,806",36.60%,2003
34,Freaky Friday,"16,08,46,332","11,02,30,332",68.50%,"5,06,16,000",31.50%,2003
35,Johnny English,"16,04,66,000","2,80,82,366",17.50%,"13,23,83,634",82.50%,2003
36,Lara Croft: Tomb Raider 0 The Cradle of Life,"16,00,99,222","6,56,60,196",41%,"9,44,39,026",59%,2003
37,Mystic River,"15,65,95,191","9,01,35,191",57.60%,"6,64,60,000",42.40%,2003
38,Bayside Shakedown 2,"15,51,38,312",0,0,"15,51,38,312",100%,2003
39,Seabiscuit,"14,83,36,445","12,02,77,854",81.10%,"2,80,58,591",18.90%,2003
40,Gothika,"14,15,91,324","5,96,94,580",42.20%,"8,18,96,744",57.80%,2003
41,Mona Lisa Smile,"14,13,37,989","6,38,60,942",45.20%,"7,74,77,047",54.80%,2003
42,The Jungle Book 2,"13,57,03,599","4,79,01,582",35.30%,"8,78,02,017",64.70%,2003
43,The Cat in the Hat,"13,39,60,541","10,11,49,285",75.50%,"3,28,11,256",24.50%,2003
44,School of Rock,"13,10,95,614","8,12,61,177",62%,"4,98,34,437",38%,2003
45,"Legally Blonde 2: Red, White & Blonde","12,49,14,842","9,01,86,328",72.20%,"3,47,28,514",27.80%,2003
46,Big Fish,"12,32,18,424","6,68,09,693",54.20%,"5,64,08,731",45.80%,2003
47,Peter Pan,"12,19,75,011","4,84,62,608",39.70%,"7,35,12,403",60.30%,2003
48,Intolerable Cruelty,"12,08,01,243","3,53,27,628",29.20%,"8,54,73,615",70.80%,2003
49,Lost in Translation,"11,86,85,453","4,45,85,453",37.60%,"7,41,00,000",62.40%,2003
50,Paycheck,"11,72,48,958","5,37,90,451",45.90%,"6,34,58,507",54.10%,2003
51,Freddy vs. Jason,"11,66,32,628","8,26,22,655",70.80%,"3,40,09,973",29.20%,2003
52,The Texas Chainsaw Massacre,"10,70,71,655","8,05,71,655",75.30%,"2,65,00,000",24.70%,2003
53,Just Married,"10,15,64,935","5,61,27,162",55.30%,"4,54,37,773",44.70%,2003
54,The Recruit,"10,11,91,884","5,28,02,140",52.20%,"4,83,89,744",47.80%,2003
55,Once Upon a Time in Mexico,"9,80,96,026","5,63,59,780",57.50%,"4,17,36,246",42.50%,2003
56,Phone Booth,"9,78,37,138","4,65,66,212",47.60%,"5,12,70,926",52.40%,2003
57,Underworld,"9,57,08,457","5,19,70,690",54.30%,"4,37,37,767",45.70%,2003
58,Calendar Girls,"9,34,00,759","3,10,41,759",33.20%,"6,23,59,000",66.80%,2003
59,Final Destination 2,"9,09,41,129","4,69,61,214",51.60%,"4,39,79,915",48.40%,2003
60,Identity,"9,02,59,536","5,21,59,536",57.80%,"3,81,00,000",42.20%,2003
61,Kangaroo Jack,"8,89,29,111","6,69,34,963",75.30%,"2,19,94,148",24.70%,2003
62,Shanghai Knights,"8,83,23,487","6,04,76,872",68.50%,"2,78,46,615",31.50%,2003
63,Old School,"8,71,35,520","7,55,85,093",86.70%,"1,15,50,427",13.30%,2003
64,Tears of the Sun,"8,64,68,162","4,37,34,876",50.60%,"4,27,33,286",49.40%,2003
65,Sinbad: Legend of the Seven Seas,"8,07,73,077","2,64,83,452",32.80%,"5,42,89,625",67.20%,2003
66,The Rundown,"8,06,57,921","4,77,26,342",59.20%,"3,29,31,579",40.80%,2003
67,Runaway Jury,"8,01,54,140","4,94,43,628",61.70%,"3,07,10,512",38.30%,2003
68,Good Bye Lenin!,"7,93,16,957","40,64,200",5.10%,"7,52,52,757",94.90%,2003
69,Bad Santa,"7,64,88,889","6,00,60,328",78.50%,"1,64,28,561",21.50%,2003
70,Dreamcatcher,"7,57,15,436","3,37,15,436",44.50%,"4,20,00,000",55.50%,2003
71,The Core,"7,34,98,611","3,11,86,896",42.40%,"4,23,11,715",57.60%,2003
72,Holes,"7,14,06,573","6,74,06,573",94.40%,"40,00,000",5.60%,2003
73,Looney Tunes: Back in Action,"6,85,14,844","2,09,91,364",30.60%,"4,75,23,480",69.40%,2003
74,Open Range,"6,82,96,293","5,83,31,254",85.40%,"99,65,039",14.60%,2003
75,Stuck on You,"6,57,84,503","3,38,32,741",51.40%,"3,19,51,762",48.60%,2003
76,Matchstick Men,"6,55,65,672","3,69,06,460",56.30%,"2,86,59,212",43.70%,2003
77,Taxi 3,"6,54,97,208","4,97,208",0.80%,"6,50,00,000",99.20%,2003
78,Jeepers Creepers 2,"6,31,02,666","3,56,67,218",56.50%,"2,74,35,448",43.50%,2003
79,Piglet's Big Movie,"6,28,70,546","2,31,03,423",36.70%,"3,97,67,123",63.30%,2003
80,Honey,"6,22,28,395","3,03,08,417",48.70%,"3,19,19,978",51.30%,2003
81,21 Grams,"6,04,27,839","1,62,90,476",27%,"4,41,37,363",73%,2003
82,Under the Tuscan Sun,"5,88,78,723","4,36,10,723",74.10%,"1,52,68,000",25.90%,2003
83,Agent Cody Banks,"5,87,95,814","4,79,38,330",81.50%,"1,08,57,484",18.50%,2003
84,Monster,"5,84,69,210","3,44,69,210",59%,"2,40,00,000",41%,2003
85,Cradle 2 the Grave,"5,64,89,558","3,47,12,347",61.40%,"2,17,77,211",38.60%,2003
86,The Lizzie McGuire Movie,"5,55,34,455","4,27,34,455",77%,"1,28,00,000",23%,2003
87,Out of Time,"5,54,95,563","4,10,88,845",74%,"1,44,06,718",26%,2003
88,Rugrats Go Wild,"5,52,50,496","3,94,02,572",71.30%,"1,58,47,924",28.70%,2003
89,Radio,"5,32,93,628","5,23,33,738",98.20%,"9,59,890",1.80%,2003
90,Hollywood Homicide,"5,11,42,659","3,09,40,691",60.50%,"2,02,01,968",39.50%,2003
91,What a Girl Wants,"5,07,32,139","3,61,05,433",71.20%,"1,46,26,706",28.80%,2003
92,The Jungle Book 2 2003 Re0release,"5,06,00,160",0,0,"5,06,00,160",100%,2003
93,National Security,"5,00,97,949","3,63,81,186",72.60%,"1,37,16,763",27.40%,2003
94,Secondhand Lions,"4,82,49,017","4,20,70,939",87.20%,"61,78,078",12.80%,2003
95,Darkness Falls,"4,74,88,536","3,25,51,396",68.50%,"1,49,37,140",31.50%,2003
96,Torque,"4,65,46,197","2,12,15,059",45.60%,"2,53,31,138",54.40%,2003
97,The Hunted,"4,60,61,847","3,42,44,097",74.30%,"1,18,17,750",25.70%,2003
98,Good Boy,"4,53,12,217","3,76,67,746",83.10%,"76,44,471",16.90%,2003
99,Uptown Girls,"4,46,17,342","3,71,82,494",83.30%,"74,34,848",16.70%,2003
100,A Man Apart,"4,43,50,926","2,67,36,098",60.30%,"1,76,14,828",39.70%,2003
101,Timeline,"4,39,35,763","1,94,81,943",44.30%,"2,44,53,820",55.70%,2003
102,Basic,"4,27,92,561","2,67,93,311",62.60%,"1,59,99,250",37.40%,2003
103,Whale Rider,"4,10,62,976","2,07,79,666",50.60%,"2,02,83,310",49.40%,2003
104,Down with Love,"3,94,68,111","2,03,05,251",51.40%,"1,91,62,860",48.60%,2003
105,Dumb and Dumberer: When Harry Met Lloyd,"3,92,67,515","2,62,76,465",66.90%,"1,29,91,050",33.10%,2003
106,The Life of David Gale,"3,89,55,598","1,99,55,598",51.20%,"1,90,00,000",48.80%,2003
107,Head of State,"3,86,20,484","3,81,25,247",98.70%,"4,95,237",1.30%,2003
108,The Missing,"3,83,64,277","2,70,11,180",70.40%,"1,13,53,097",29.60%,2003
109,Bulletproof Monk,"3,77,13,879","2,33,58,708",61.90%,"1,43,55,171",38.10%,2003
110,Malibu's Most Wanted,"3,46,22,504","3,44,32,201",99.50%,"1,90,303",0.50%,2003
111,The Medallion,"3,42,68,701","2,22,19,192",64.80%,"1,20,49,509",35.20%,2003
112,The Fighting Temptations,"3,39,72,062","3,02,50,745",89%,"37,21,317",11%,2003
113,Pokémon: Jirachi 0 Wish Maker,"3,33,93,751",0,0,"3,33,93,751",100%,2003
114,Girl with a Pearl Earring,"3,30,30,115","1,16,70,971",35.30%,"2,13,59,144",64.70%,2003
115,Suddenly Paradise,"3,16,79,869",0,0,"3,16,79,869",100%,2003
116,The Blind Swordsman: Zatoichi,"3,11,67,430",0,0,"3,11,67,430",100%,2003
117,Cabin Fever,"3,05,53,394","2,11,58,188",69.20%,"93,95,206",30.80%,2003
118,Laws of Attraction,"3,00,31,874","1,78,71,255",59.50%,"1,21,60,619",40.50%,2003
119,Luther,"2,94,13,900","57,91,328",19.70%,"2,36,22,572",80.30%,2003
120,Bugs!,"2,93,88,999","1,90,63,544",64.90%,"1,03,25,455",35.10%,2003
121,Cold Creek Manor,"2,91,19,434","2,13,86,011",73.40%,"77,33,423",26.60%,2003
122,Wrong Turn,"2,86,50,575","1,54,18,790",53.80%,"1,32,31,785",46.20%,2003
123,Ruby & Quentin,"2,77,20,972","3,12,824",1.10%,"2,74,08,148",98.90%,2003
124,The In0Laws,"2,68,91,849","2,04,53,431",76.10%,"64,38,418",23.90%,2003
125,In America,"2,53,82,911","1,55,39,656",61.20%,"98,43,255",38.80%,2003
126,The Miracle of Bern,"2,48,16,750",0,0,"2,48,16,394",100%,2003
127,Detective Conan: Crossroad in the Ancient Capital,"2,43,42,320",0,0,"2,43,42,320",100%,2003
128,Mortadelo & Filemon: The Big Adventure,"2,39,20,411",0,0,"2,39,20,411",100%,2003
129,Dickie Roberts: Former Child Star,"2,37,69,505","2,27,38,671",95.70%,"10,30,834",4.30%,2003
130,In the Cut,"2,37,26,793","47,50,602",20%,"1,89,76,191",80%,2003
131,Biker Boyz,"2,35,10,621","2,20,76,772",93.90%,"14,33,849",6.10%,2003
132,Yomigaeri,"2,32,59,542",0,0,"2,32,59,542",100%,2003
133,Confidence,"2,30,14,206","1,22,51,640",53.20%,"1,07,62,566",46.80%,2003
134,The Human Stain,"2,29,54,068","53,81,908",23.40%,"1,75,72,160",76.60%,2003
135,Swimming Pool,"2,24,41,497","1,01,30,108",45.10%,"1,23,11,389",54.90%,2003
136,Chouchou,"2,22,88,364",0,0,"2,22,88,364",100%,2003
137,Ghosts of the Abyss,"2,21,41,539","1,70,40,871",77%,"51,00,668",23%,2003
138,Love Don't Cost a Thing,"2,19,64,072","2,19,24,226",99.80%,"39,846",0.20%,2003
139,The Barbarian Invasions 2003 Re0release,"2,18,15,430","34,35,749",15.70%,"1,83,79,681",84.30%,2003
140,Doraemon: Nobita and the Wind Wizard,"2,04,28,491",0,0,"2,04,28,491",100%,2003
141,Ong0Bak: The Thai Warrior,"2,02,35,426","45,63,167",22.60%,"1,56,72,259",77.40%,2003
142,View from the Top,"1,95,26,014","1,56,14,000",80%,"39,12,014",20%,2003
143,Duplex,"1,93,22,135","96,92,135",50.20%,"96,30,000",49.80%,2003
144,Deep Blue,"1,92,88,261","1,32,261",0.70%,"1,91,56,000",99.30%,2003
145,A Mighty Wind,"1,87,50,246","1,77,81,006",94.80%,"9,69,240",5.20%,2003
146,My Boss's Daughter,"1,81,91,005","1,55,50,605",85.50%,"26,40,400",14.50%,2003
147,My Tutor Friend,"1,78,96,209",0,0,"1,78,96,209",100%,2003
148,The New World,"1,78,23,920",0,0,"1,78,23,920",100%,2003
149,Deliver Us from Eva,"1,75,73,594","1,75,73,594",100%,0,0,2003
150,A Guy Thing,"1,74,32,163","1,55,45,431",89.20%,"18,86,732",10.80%,2003
151,Would I Lie to You? 2,"1,73,17,084",0,0,"1,73,17,084",100%,2003
152,House of 1000 Corpses,"1,68,29,545","1,26,34,962",75.10%,"41,94,583",24.90%,2003
153,House of Sand and Fog,"1,67,63,804","1,30,40,288",77.80%,"37,23,516",22.20%,2003
154,Dogville,"1,66,80,836","15,35,286",9.20%,"1,51,45,550",90.80%,2003
155,Facing Windows,"1,55,30,077","5,43,354",3.50%,"1,49,86,723",96.50%,2003
156,Zelary,"1,54,61,305","3,30,033",2.10%,"1,51,31,272",97.90%,2003
157,Alex & Emma,"1,53,68,897","1,42,18,698",92.50%,"11,50,199",7.50%,2003
158,The Dreamers,"1,51,21,165","25,32,228",16.70%,"1,25,88,937",83.30%,2003
159,Oldboy,"1,49,80,005","7,07,481",4.70%,"1,42,72,524",95.30%,2003
160,Battle Royale II,"1,48,99,584",0,0,"1,48,99,584",100%,2003
161,One Piece: Dead End Adventure,"1,48,17,006",0,0,"1,48,17,006",100%,2003
162,The Triplets of Belleville,"1,47,76,760","70,07,149",47.40%,"77,69,611",52.60%,2003
163,Together with You,"1,46,87,167","11,51,941",7.80%,"1,35,35,226",92.20%,2003
164,How to Deal,"1,43,90,329","1,41,95,227",98.60%,"1,95,102",1.40%,2003
165,Football Days,"1,41,17,202",0,0,"1,41,17,202",100%,2003
166,Touching the Void,"1,38,85,802","45,93,598",33.10%,"92,92,204",66.90%,2003
167,House of the Dead,"1,38,18,181","1,02,49,719",74.20%,"35,68,462",25.80%,2003
168,Anything Else,"1,35,85,075","32,12,310",23.60%,"1,03,72,765",76.40%,2003
169,Kal Ho Naa Ho,"1,32,00,241","19,91,922",15.10%,"1,12,08,319",84.90%,2003
170,The Barbarian Invasions,"1,30,65,317","51,09,226",39.10%,"79,56,091",60.90%,2003
171,Onmyoji 2,"1,30,22,862",0,0,"1,30,22,862",100%,2003
172,The Divorce,"1,29,91,996","90,81,057",69.90%,"39,10,939",30.10%,2003
173,Gods and Generals,"1,29,23,936","1,28,82,934",99.70%,"41,002",0.30%,2003
174,"Remember Me, My Love","1,26,71,306","2,27,986",1.80%,"1,24,43,320",98.20%,2003
175,Chasing Papi,"1,26,61,189","61,30,049",48.40%,"65,31,140",51.60%,2003
176,Winged Migration 2003 Re0release,"1,26,34,963","1,07,64,402",85.20%,"18,70,561",14.80%,2003
177,Seducing Doctor Lewis,"1,25,04,038","93,54,342",74.80%,"31,49,696",25.20%,2003
178,Monsieur Ibrahim,"1,23,64,836","28,23,890",22.80%,"95,40,946",77.20%,2003
179,Koi... Mil Gaya,"1,21,68,232","6,71,372",5.50%,"1,14,96,860",94.50%,2003
180,Dark Blue,"1,21,50,301","92,50,301",76.10%,"29,00,000",23.90%,2003
181,Beyond Borders,"1,17,05,002","44,30,101",37.80%,"72,74,901",62.20%,2003
182,The Dope,"1,12,89,473",0,0,"1,12,89,473",100%,2003
183,Kamen Rider 555: Paradise Lost,"1,10,67,556",0,0,"1,10,67,556",100%,2003
184,Godzilla: Tokyo S.O.S.,"1,07,24,345",0,0,"1,07,24,345",100%,2003
185,The Cooler,"1,04,64,788","82,91,572",79.20%,"21,73,216",20.80%,2003
186,A Touch of Spice,"1,03,95,779",0,0,"1,03,95,779",100%,2003
187,Thirteen,"1,01,28,960","46,01,043",45.40%,"55,27,917",54.60%,2003
188,Kisarazu Cat's Eye: Nihon Series,"1,00,29,866",0,0,"1,00,29,866",100%,2003
189,Elephant,"1,00,12,022","12,66,955",12.70%,"87,45,067",87.30%,2003
190,Shin Chan: The Adult Empire Strikes Back,"98,51,449",0,0,"98,51,449",100%,2003
191,My Life Without Me,"97,26,954","4,00,948",4.10%,"93,26,006",95.90%,2003
192,The Young Black Stallion,"96,38,389","67,51,389",70%,"28,87,000",30%,2003
193,Married for 7 Years,"95,45,175",0,0,"95,45,175",100%,2003
194,Veronica Guerin,"94,39,660","15,71,504",16.60%,"78,68,156",83.40%,2003
195,The Flying Classroom,"93,78,807",0,0,"93,78,807",100%,2003
196,Après Vous,"88,52,763","8,30,292",9.40%,"80,22,471",90.60%,2003
197,"Spring, Summer, Fall, Winter... and Spring","88,41,920","23,80,788",26.90%,"64,61,132",73.10%,2003
198,18 Years Later,"87,85,730","25,611",0.30%,"87,60,119",99.70%,2003
199,Le coeur des hommes,"87,55,325",0,0,"87,55,325",100%,2003
0,Shrek 2,"92,89,65,969","44,14,26,807",47.50%,"48,75,34,523",52.50%,2004
1,Harry Potter and the Prisoner of Azkaban,"79,56,34,069","24,95,41,069",31.40%,"54,60,93,000",68.60%,2004
2,Spider0Man 2,"78,37,66,341","37,35,85,825",47.70%,"41,01,80,516",52.30%,2004
3,The Incredibles,"63,14,42,092","26,14,41,092",41.40%,"37,00,01,000",58.60%,2004
4,The Passion of the Christ,"61,14,90,759","37,02,74,604",60.60%,"24,12,12,132",39.40%,2004
5,The Day After Tomorrow,"55,26,39,571","18,67,40,799",33.80%,"36,58,98,772",66.20%,2004
6,Meet the Fockers,"52,26,57,936","27,92,61,160",53.40%,"24,33,96,776",46.60%,2004
7,Troy,"49,74,09,852","13,33,78,256",26.80%,"36,40,31,596",73.20%,2004
8,Shark Tale,"37,45,83,879","16,08,61,908",42.90%,"21,37,21,971",57.10%,2004
9,Ocean's Twelve,"36,27,44,280","12,55,44,280",34.60%,"23,72,00,000",65.40%,2004
10,"I, Robot","35,31,33,898","14,48,01,023",41%,"20,83,32,875",59%,2004
11,National Treasure,"34,75,12,318","17,30,08,894",49.80%,"17,45,03,424",50.20%,2004
12,Van Helsing,"30,01,57,638","12,01,77,084",40%,"17,99,80,554",60%,2004
13,The Bourne Supremacy,"29,06,33,422","17,62,41,941",60.60%,"11,43,91,481",39.40%,2004
14,The Polar Express,"28,60,00,505","16,27,75,358",56.90%,"12,32,25,147",43.10%,2004
15,Bridget Jones: The Edge of Reason,"26,51,26,918","4,02,26,215",15.20%,"22,49,00,703",84.80%,2004
16,Howl's Moving Castle,"23,52,04,375","47,11,096",2%,"23,04,84,947",98%,2004
17,Fahrenheit 9/11,"22,24,46,882","11,91,94,771",53.60%,"10,32,52,111",46.40%,2004
18,Collateral,"22,02,39,925","10,10,05,703",45.90%,"11,92,34,222",54.10%,2004
19,The Terminal,"21,86,85,607","7,78,72,883",35.60%,"14,08,12,724",64.40%,2004
20,Million Dollar Baby,"21,67,63,646","10,04,92,203",46.40%,"11,62,71,443",53.60%,2004
21,The Aviator,"21,37,19,942","10,26,10,330",48%,"11,11,09,612",52%,2004
22,A Series of Unfortunate Events,"21,14,68,235","11,86,34,549",56.10%,"9,28,33,686",43.90%,2004
23,King Arthur,"20,35,67,857","5,18,82,244",25.50%,"15,16,85,613",74.50%,2004
24,Garfield: The Movie,"20,31,72,417","7,53,69,589",37.10%,"12,78,02,828",62.90%,2004
25,50 First Dates,"19,84,13,428","12,09,08,074",60.90%,"7,75,05,354",39.10%,2004
26,The Grudge,"18,72,81,115","11,03,59,362",58.90%,"7,69,21,753",41.10%,2004
27,Scooby0Doo 2: Monsters Unleashed,"18,12,16,833","8,42,16,833",46.50%,"9,70,00,000",53.50%,2004
28,Along Came Polly,"17,83,11,729","8,80,97,164",49.40%,"9,02,14,565",50.60%,2004
29,Alien vs. Predator,"17,74,27,090","8,02,82,231",45.20%,"9,71,44,859",54.80%,2004
30,Starsky & Hutch,"17,02,68,750","8,82,37,754",51.80%,"8,20,30,996",48.20%,2004
31,Shall We Dance?,"17,01,28,460","5,78,90,460",34%,"11,22,38,000",66%,2004
32,Dodgeball: A True Underdog Story,"16,84,23,227","11,43,26,736",67.90%,"5,40,96,491",32.10%,2004
33,Alexander,"16,72,98,192","3,42,97,191",20.50%,"13,30,01,001",79.50%,2004
34,The Phantom of the Opera,"15,46,48,887","5,12,68,815",33.20%,"10,33,80,072",66.80%,2004
35,Kill Bill: Vol. 2,"15,41,16,796","6,62,08,183",43%,"8,79,08,613",57%,2004
36,Home on the Range,"14,53,58,062","5,00,30,461",34.40%,"9,53,27,601",65.60%,2004
37,The SpongeBob SquarePants Movie,"14,01,92,993","8,54,17,988",60.90%,"5,47,75,005",39.10%,2004
38,The Princess Diaries 2: Royal Engagement,"13,47,34,481","9,51,70,481",70.60%,"3,95,64,000",29.40%,2004
39,Blade: Trinity,"13,18,83,935","5,24,11,906",39.70%,"7,94,72,029",60.30%,2004
40,Man on Fire,"13,08,34,852","7,79,11,774",59.50%,"5,29,23,078",40.50%,2004
41,Mean Girls,"13,01,35,039","8,60,58,055",66.10%,"4,40,67,774",33.90%,2004
42,Resident Evil: Apocalypse,"12,93,42,769","5,12,01,453",39.60%,"7,81,41,316",60.40%,2004
43,Ray,"12,39,71,376","7,53,31,600",60.80%,"4,86,39,776",39.20%,2004
44,The Notebook,"11,78,14,972","8,10,01,787",68.80%,"3,68,10,836",31.20%,2004
45,The Forgotten,"11,75,92,831","6,71,33,509",57.10%,"5,04,59,322",42.90%,2004
46,Finding Neverland,"11,66,50,613","5,16,80,613",44.30%,"6,49,70,000",55.70%,2004
47,The Chronicles of Riddick,"11,59,00,534","5,77,61,012",49.80%,"5,81,39,522",50.20%,2004
48,Closer,"11,55,05,027","3,39,87,757",29.40%,"8,15,17,270",70.60%,2004
49,White Chicks,"11,30,86,475","7,08,31,760",62.60%,"4,22,54,715",37.40%,2004
50,Sideways,"10,97,06,931","7,15,03,593",65.20%,"3,82,03,338",34.80%,2004
51,Hidalgo,"10,80,40,622","6,73,03,450",62.30%,"4,07,37,172",37.70%,2004
52,The Stepford Wives,"10,33,70,127","5,94,84,742",57.50%,"4,38,85,385",42.50%,2004
53,Saw,"10,30,96,345","5,51,85,045",53.50%,"4,79,11,300",46.50%,2004
54,Dawn of the Dead,"10,22,78,712","5,90,20,957",57.70%,"4,32,57,755",42.30%,2004
55,Kung Fu Hustle,"10,09,12,445","1,71,08,591",17%,"8,38,03,854",83%,2004
56,Ladder 49,"10,05,72,044","7,45,41,707",74.10%,"2,60,30,337",25.90%,2004
57,Hellboy,"9,93,18,987","5,96,23,958",60%,"3,96,95,029",40%,2004
58,The Butterfly Effect,"9,66,93,417","5,79,38,693",59.90%,"3,87,54,724",40.10%,2004
59,Christmas with the Kranks,"9,65,72,480","7,37,80,539",76.40%,"2,27,91,941",23.60%,2004
60,13 Going on 30,"9,64,55,697","5,72,31,747",59.30%,"3,92,23,950",40.70%,2004
61,The Manchurian Candidate,"9,61,05,910","6,59,55,630",68.60%,"3,01,50,280",31.40%,2004
62,Secret Window,"9,29,13,171","4,80,22,900",51.70%,"4,48,90,271",48.30%,2004
63,House of Flying Daggers,"9,28,63,945","1,10,50,094",11.90%,"8,18,13,851",88.10%,2004
64,Downfall,"9,21,81,574","55,09,040",6%,"8,66,72,534",94%,2004
65,Anchorman: The Legend of Ron Burgundy,"9,06,50,045","8,52,88,303",94.10%,"53,61,427",5.90%,2004
66,Catwoman,"8,24,02,379","4,02,02,379",48.80%,"4,22,00,000",51.20%,2004
67,The Chorus,"8,20,32,134","20,87,128",2.50%,"7,99,45,006",97.50%,2004
68,Exorcist: The Beginning,"7,81,10,021","4,18,21,986",53.50%,"3,62,88,035",46.50%,2004
69,The Ladykillers,"7,66,65,191","3,97,99,191",51.90%,"3,68,66,000",48.10%,2004
70,(T)Raumschiff Surprise 0 Periode 1,"7,63,41,401",0,0,"7,63,41,401",100%,2004
71,Crying Out Love in the Center of the World,"7,36,11,055",0,0,"7,36,11,055",100%,2004
72,Eternal Sunshine of the Spotless Mind,"7,33,89,931","3,44,00,301",46.90%,"3,89,87,433",53.10%,2004
73,Without a Paddle,"7,30,29,190","5,81,69,327",79.70%,"1,48,59,863",20.30%,2004
74,Around the World in 80 Days,"7,21,78,895","2,40,08,137",33.30%,"4,81,70,758",66.70%,2004
75,Anacondas: The Hunt for the Blood Orchid,"7,09,92,898","3,22,38,923",45.40%,"3,87,53,975",54.60%,2004
76,Taxi 2004 Re0release,"7,07,78,329","3,66,11,066",51.70%,"3,41,67,263",48.30%,2004
77,A Cinderella Story,"7,00,80,371","5,14,38,175",73.40%,"1,86,29,734",26.60%,2004
78,Tae Guk Gi: The Brotherhood of War,"6,98,27,583","11,11,061",1.60%,"6,87,16,522",98.40%,2004
79,A Very Long Engagement,"6,94,24,389","65,24,389",9.40%,"6,29,00,000",90.60%,2004
80,Barbershop 2: Back in Business,"6,59,91,448","6,51,11,277",98.70%,"8,80,171",1.30%,2004
81,Taking Lives,"6,54,70,529","3,26,82,342",49.90%,"3,27,88,187",50.10%,2004
82,Miracle,"6,44,45,708","6,43,78,093",99.90%,"67,615",0.10%,2004
83,After the Sunset,"6,26,57,868","2,83,31,233",45.20%,"3,43,26,635",54.80%,2004
84,Two Brothers,"6,21,72,050","1,91,76,754",30.80%,"4,29,95,296",69.20%,2004
85,Friday Night Lights,"6,19,50,770","6,12,55,921",98.90%,"6,94,849",1.10%,2004
